fiesta,fiestaLabel,locationLabel
http://www.wikidata.org/entity/Q6124557,Semana Santa en Medina de Rioseco,Medina de Rioseco
http://www.wikidata.org/entity/Q6124559,Semana Santa en Medina del Campo,Medina del Campo
http://www.wikidata.org/entity/Q6124571,Semana Santa en Orihuela,Orihuela
http://www.wikidata.org/entity/Q6124609,Semana Santa en Ávila,Ávila
http://www.wikidata.org/entity/Q7884112,Semana Santa en Cartagena,Cartagena
http://www.wikidata.org/entity/Q8355038,Descenso Internacional del Sella,Arriondas
http://www.wikidata.org/entity/Q8961628,Fiestas de la Magdalena (Castellón de la Plana),Castellón de la Plana
http://www.wikidata.org/entity/Q9075872,Semana Santa Ferrolana,Ferrol
http://www.wikidata.org/entity/Q9075873,Semana Santa en Granada,Granada
http://www.wikidata.org/entity/Q9075874,Semana Santa en León,León
http://www.wikidata.org/entity/Q9075878,Semana Santa en Lorca,Lorca
http://www.wikidata.org/entity/Q9075880,Semana Santa en Salamanca,Salamanca
http://www.wikidata.org/entity/Q9075883,Semana Santa en Málaga,Málaga
http://www.wikidata.org/entity/Q9075883,Semana Santa en Málaga,provincia de Málaga
http://www.wikidata.org/entity/Q9075887,Semana Santa en Valladolid,Valladolid
http://www.wikidata.org/entity/Q9075892,Semana Santa en Zaragoza,Zaragoza
http://www.wikidata.org/entity/Q12388488,Fiesta de Santiago Apóstol,Santiago de Compostela
http://www.wikidata.org/entity/Q16609048,Moros y Cristianos de Villajoyosa,Villajoyosa
http://www.wikidata.org/entity/Q23046683,Semana Santa en Crevillente,Crevillente
http://www.wikidata.org/entity/Q23047569,Romería Vikinga de Catoira,Catoira
http://www.wikidata.org/entity/Q23199311,Semana Santa en Toledo,Toledo
http://www.wikidata.org/entity/Q23199332,Hogueras de San Juan,La Coruña
http://www.wikidata.org/entity/Q23199370,Motín de Aranjuez,Aranjuez
http://www.wikidata.org/entity/Q25511382,Corpus Christi en Puenteareas,Puenteareas
http://www.wikidata.org/entity/Q1143768,Fallas de Valencia,Valencia
http://www.wikidata.org/entity/Q1236370,Hogueras de Alicante,Alicante
http://www.wikidata.org/entity/Q2176621,Q2176621,
http://www.wikidata.org/entity/Q3092925,Fiestas del Pilar,Zaragoza
http://www.wikidata.org/entity/Q5861807,Fiestas de Fuenlabrada,
http://www.wikidata.org/entity/Q8961595,Fiesta Mayor de Reus,Reus
http://www.wikidata.org/entity/Q11921891,Festa Major de Badalona,
http://www.wikidata.org/entity/Q11921892,Fiestas de Gracia,Villa de Gracia
http://www.wikidata.org/entity/Q11921893,Festa Major de Sant Joan Baptista de Valls,
http://www.wikidata.org/entity/Q11921926,Fiesta Mayor de San Luis,San Luis
http://www.wikidata.org/entity/Q11921927,Fiestas del Tura,Olot
http://www.wikidata.org/entity/Q16303295,"Fiestas de la Virgen, Yecla",Yecla
http://www.wikidata.org/entity/Q17301586,Fiesta Mayor de Castelltersol,Castelltersol
http://www.wikidata.org/entity/Q18696203,Fiesta Mayor de Villafranca del Panadés,Villafranca del Panadés
http://www.wikidata.org/entity/Q19917524,Festa Major del Clot,
http://www.wikidata.org/entity/Q20102845,Festa Major de Can Peguera,
http://www.wikidata.org/entity/Q20102966,Festa Major de la Prosperitat,
http://www.wikidata.org/entity/Q20103063,Festa Major de la Rambla,
http://www.wikidata.org/entity/Q20103076,Festes del Raval,
http://www.wikidata.org/entity/Q20104225,Festa Major d'Agost de Badalona,
http://www.wikidata.org/entity/Q20104229,Festa Major de la Dreta de l'Eixample,
http://www.wikidata.org/entity/Q20104233,Festa Major de la Salut,
http://www.wikidata.org/entity/Q20104238,"Festa Major de la Teixonera, Mas Falcó i Penitents",
http://www.wikidata.org/entity/Q20104248,Festa Major de Sant Antoni,
http://www.wikidata.org/entity/Q20104252,Festa Major del Besòs i del Maresme,
http://www.wikidata.org/entity/Q20104262,Festa Major del Fort Pienc,
http://www.wikidata.org/entity/Q20104265,Festa Major del Pi,
http://www.wikidata.org/entity/Q20104434,Festa Major del Carmel,
http://www.wikidata.org/entity/Q20104445,Festa Major del Poblenou,
http://www.wikidata.org/entity/Q20104469,Festa Major de la Font d'en Fargues,
http://www.wikidata.org/entity/Q20104482,Festa Major del Turó de la Peira,
http://www.wikidata.org/entity/Q20104506,Festa Major de Porta,
http://www.wikidata.org/entity/Q20104613,Festa Major de la Vall d'Hebron,
http://www.wikidata.org/entity/Q20104655,Festa Major del Casc Antic,
http://www.wikidata.org/entity/Q20104667,Festa Major de Verdum,
http://www.wikidata.org/entity/Q20104876,Fiesta Mayor de Granollers,
http://www.wikidata.org/entity/Q20104915,Festa Major de Ciutat Meridiana,
http://www.wikidata.org/entity/Q20104956,Festa Major de la Clota,
http://www.wikidata.org/entity/Q20104964,Festa Major del Guinardó,
http://www.wikidata.org/entity/Q20105027,Festa Major d'Horta,
http://www.wikidata.org/entity/Q20105877,Festa Major del Baix Guinardó,
http://www.wikidata.org/entity/Q20105975,Festa Major de la Barceloneta,
http://www.wikidata.org/entity/Q20106073,Festa Major de la Mare de Déu de la Riera de les Borges del Camp,Borjas del Campo
http://www.wikidata.org/entity/Q20106203,Festa Major de Montbau,
http://www.wikidata.org/entity/Q20106415,Festa Major de l'Esquerra de l'Eixample,
http://www.wikidata.org/entity/Q20106420,Festa Major de la Verneda i Sant Martí,
http://www.wikidata.org/entity/Q20106424,Festa Major de Nou Barris,
http://www.wikidata.org/entity/Q20106425,Festa Major de les Corts,
http://www.wikidata.org/entity/Q20106433,Festa Major del Camp d'en Grassot i de Gràcia Nova,
http://www.wikidata.org/entity/Q20106436,Festa Major del Coll,
http://www.wikidata.org/entity/Q20106450,Festes Majors d'Hivern de Sant Blai de la Fatarella,
http://www.wikidata.org/entity/Q20106481,Festa Major de Torre Baró,
http://www.wikidata.org/entity/Q20106650,Festa Major de la Trinitat Nova,
http://www.wikidata.org/entity/Q20106670,Festa Major de les Roquetes,
http://www.wikidata.org/entity/Q20106755,Festa Major de la Guineueta,
http://www.wikidata.org/entity/Q20106794,Festa Major de Sant Genís dels Agudells,
http://www.wikidata.org/entity/Q20107331,Festa Major de la Bordeta,
